Fee-Orders reports from 10-01-2016 to 12-31-2016
Category,Name,ASIN,Date,Qty,Price($),Link Type,Tag,Indirect Sales,Device Type Group
Beauty,Dr.G Brightening Peeling Gel 4.2 Ounce,B007TFW0B6,2016-11-22 19:37:34,1,17.98,PA-API,eileenog-20,di,DESKTOP
Grocery & Gourmet Food,Stash Tea Chamomile Herbal Tea 100 Count Box of Tea Bags in Foil,B003D4MX1E,2016-11-22 19:37:34,1,14.95,PA-API,eileenog-20,di,DESKTOP
Beauty,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,B007IAE5WY,2016-11-22 19:37:34,1,11.95,PA-API,eileenog-20,di,DESKTOP
Books,Pump Six and Other Stories,1597802026,2016-11-22 19:37:34,1,13.76,PA-API,eileenog-20,di,DESKTOP
Books,The Three-Body Problem,0765382032,2016-11-22 19:37:34,1,9.52,PA-API,eileenog-20,di,DESKTOP
Home,Nicetown Window Treatment Thermal Insulated Solid Grommet Room Darkening Curtains / Drapes for Bedroom (Set of 2 Panels42 by 63 Inch Long Turquoise ,B01CS31SNY,2016-11-22 21:14:07,1,20.95,PA-API,eileenog-20,di,DESKTOP
Home,InterDesign Cameo Small Shower Curtain Tension Rod Bronze 25-43 Inch,B006J23MI0,2016-11-22 21:14:07,2,8.49,PA-API,eileenog-20,di,DESKTOP
Home,Ultrasonic Cool Mist Humidifier - Premium Humidifying Unit with Whisper-quiet Operation Automatic Shut-off and Night Light Function,B013IJPTFK,2016-11-22 21:14:07,1,49.99,PA-API,eileenog-20,di,DESKTOP
Health & Personal Care,NatureBright SunTouch Plus Light and Ion Therapy Lamp (package may vary),B000W8Y7FY,2016-11-22 20:13:59,1,51.99,PA-API,eileenog-20,di,DESKTOP
Grocery & Gourmet Food,Organic Dried Butterfly Pea Flowers 50g.,B008YUVZSO,2016-11-22 20:13:59,1,16.99,PA-API,eileenog-20,di,DESKTOP
Health & Personal Care,JOBST It Stays Body Adhesive Roll-On 2 Ounce,B0015DA0E2,2016-11-22 19:37:34,1,10.15,PA-API,eileenog-20,di,DESKTOP
Tools & Hardware,SadoTech Model C Wireless Doorbell Operating at over 500-feet Range with Over 50 Chimes No Batteries Required for Receiver (White) Fixed Code C Ser,B00FR4YQYK,2016-11-22 19:37:34,1,19.99,PA-API,eileenog-20,di,DESKTOP
Home,AmazonBasics 5-Shelf Shelving Unit - Black,B018YLFJX4,2016-11-22 19:37:34,2,44.99,PA-API,eileenog-20,di,DESKTOP
Health & Personal Care,Natrol Biotin Maximum Strength tablets 10000mcg  100 count (pack of 2),B0185PXU3K,2016-11-22 23:39:05,1,12.23,PA-API,eileenog-20,di,PHONE
Office Products,Uni Mechanical Pencil Kurutoga Roulette Model Gun Metallic 0.5 mm (M510171P.43),B004OHNTVC,2016-11-22 23:39:05,1,8.27,PA-API,eileenog-20,di,PHONE
Beauty,Kenra Extra Volume Mousse #17 8-Ounce,B00147QL8S,2016-11-22 23:39:05,1,12.00,PA-API,eileenog-20,di,PHONE
Home,Canson Artist Series Universal Sketch Pad 5.5"X8.5" Side Wire,B000A7JJF0,2016-11-22 23:39:05,2,5.59,PA-API,eileenog-20,di,PHONE
Gift Card,Amazon.com Gift Card Balance Reload,B00IX1I3G6,2016-11-23 06:09:52,1,8.22,PA-API,eileenog-20,ndi,MISSING
Electronics,Sennheiser HD 598 Cs Closed Back Headphone,B01JP436TS,2016-11-25 19:30:58,1,99.95,PA-API,eileenog-20,di,DESKTOP
Books,Incerto: Fooled by Randomness The Black Swan The Bed of Procrustes Antifragile,0399590455,2016-11-25 19:40:04,1,46.66,PA-API,eileenog-20,di,PHONE
Computers,Spinido | BESTAND for Magic Trackpad 2(MJ2R2LL/A) and Apple latest Magic Keyboard(MLA22LL/A) (white),B01EWXHV0W,2016-11-28 13:47:30,1,29.98,PA-API,eileenog-20,di,DESKTOP
Computers,Apple Magic Trackpad 2 (MJ2R2LL/A),B016QO5YWC,2016-11-28 13:47:30,1,121.00,PA-API,eileenog-20,di,DESKTOP
Computers,Apple Magic Keyboard (MLA22LL/A),B016QO64FI,2016-11-28 13:47:30,1,99.00,PA-API,eileenog-20,di,DESKTOP
Kitchen & Housewares,Homey Brands Anti Fatigue Mat for Home Office & Kitchen - Large 20" x 39" Non-Slip Standing Mat is Perfect for Garage Hair Salon & More,B01J2NEI8K,2016-11-28 13:47:30,2,33.95,PA-API,eileenog-20,ndi,DESKTOP
Computers,USB-C to USB Multiport Adapter AVOTCH USB-C to 3-Port USB 3.0 Hub support charging the New Macbook and data transferUSB3.0 data HubCompatible with ,B01INACE2A,2016-11-28 13:47:30,1,24.99,PA-API,eileenog-20,di,DESKTOP
Beauty,Colgate Enamel Health Anticavity Fluoride Sparkling Fresh Mint Mouthwash 8.5 Ounce,B011YUMKN4,2016-11-28 13:47:30,1,2.96,PA-API,eileenog-20,ndi,DESKTOP
Computers,EZDIY Ultra-Quiet USB Powered Portable Desk Fan Touch Switch with Smart Sensor (Black),B01IR24T7M,2016-11-28 13:47:30,1,19.99,PA-API,eileenog-20,di,DESKTOP
Pet Supplies,Flexi Durabelt Retractable Belt Dog Leash Large 16-Feet Long Supports up to 150-Pound Blue,B007CREGO0,2016-11-29 21:44:39,1,19.99,PA-API,eileenog-20,ndi,DESKTOP
Pet Supplies,Hill's Science Diet Adult Advanced Fitness Small Bites Chicken & Barley Recipe Dry Dog Food 38.5 lb bag,B009B87MX0,2016-11-30 07:36:30,1,39.74,PA-API,eileenog-20,ndi,DESKTOP
Other,Urban Shop Round Knit Pouf Plum,B01DWKAZJU,2016-12-01 10:01:28,2,39.49,PA-API,eileenog-20,di,DESKTOP
Computers,LG 27UD58-B 27-Inch 4K UHD IPS Monitor with FreeSync,B01IRQAYPE,2016-12-01 10:01:28,1,402.99,PA-API,eileenog-20,di,DESKTOP
Pet Supplies,Whole Earth Farms Grain Free Recipe Dry Cat Food Chicken 2.5 lb,B00VMHSVHY,2016-12-01 22:01:37,4,3.04,PA-API,eileenog-20,ndi,DESKTOP
Beauty,e.l.f. Illuminating Palette 0.56 Ounce,B01D1DSMFM,2016-12-01 22:01:37,1,6.00,PA-API,eileenog-20,ndi,DESKTOP
Beauty,Maybelline New York The Falsies Push Up Angel Washable Mascara Blackest Black 0.33 Fluid Ounce,B01FKG8FDW,2016-12-01 22:01:37,1,5.99,PA-API,eileenog-20,ndi,DESKTOP
Electronics,AmazonBasics High-Speed HDMI Cable - 6 Feet (Latest Standard),B014I8SSD0,2016-12-07 08:41:25,2,6.99,PA-API,eileenog-20,di,DESKTOP
Computers,HP Pavilion 22cwa 21.5-inch IPS LED Backlit Monitor,B015WCV70W,2016-12-07 08:41:25,2,99.99,PA-API,eileenog-20,di,DESKTOP
Health & Personal Care,Myrrh - 100% Pure Best Therapeutic Grade Essential Oil - 10ml,B00PM8Y5Y2,2016-12-09 20:26:03,1,10.00,PA-API,eileenog-20,ndi,DESKTOP
Health & Personal Care,Frankincense - 100% Pure Best Therapeutic Grade Essential Oil - 10 ml,B00O13KZ70,2016-12-09 20:26:03,1,8.49,PA-API,eileenog-20,ndi,DESKTOP
Health & Personal Care,Dr Christopher's Formula Original Bladder 100 Count,B00028Q20C,2016-12-09 20:26:03,1,11.80,PA-API,eileenog-20,ndi,DESKTOP
